variant,cell,z,encoder,epochs,params_M,flops_G,fps,mAP50,mAP50_95,da_mIoU,da_fg,lane_mIoU,lane_fg,peak_gpu_mem_mib,final_train_loss,train_wall_min,seed,source,git_commit
r2,r2z16_km,16,ebase,20,0.2014,1.0796,397.23,0.4908,0.2112,0.8420,0.7511,0.5844,0.1936,NA,0.2130,134,0,trained,9fb29e727e979d9b7511c0d23e8be756a162594f
r2,aunif_km,16,ebase,20,0.3339,1.6650,419.34,0.5332,0.2426,0.8557,0.7715,0.5874,0.1999,NA,0.2019,162,0,trained,9fb29e727e979d9b7511c0d23e8be756a162594f
