variant,cell,z,encoder,epochs,params_M,flops_G,fps,mAP50,mAP50_95,da_mIoU,da_fg,lane_mIoU,lane_fg,peak_gpu_mem_mib,final_train_loss,train_wall_min,seed,source,git_commit
g3,a1_base,16,dws|base,4,0.2014,1.0796,288.16,0.3929,0.1501,0.8247,0.7259,0.575,0.1757,2236,0.2497,26,0,trained,fbaa575650d61e40e3400fea7e5407af58867995
g3,a2_base,16,ir|base,4,0.2018,1.1424,339.26,0.4019,0.1529,0.8331,0.7377,0.5775,0.1801,2430,0.2466,28,0,trained,ed5df4d23f3d8ab03c7335a2db0239c34994fadd
